,id,airline_iata,origin_iata,deprt_time,dest_iata,duration,prop,ac_type,capacity,distance,price_usd,regional,flight_path,city_pair,arrive_time,flight_legs,service_lvl,first_layover,second_layover,first_transfer_city,second_transfer_city
150,151,SM,HMB,2023-01-01 05:30:00,LXR,0 days 05:55:00,1,A320,70,768,55,0,HMB -> CAI -> LXR,HMB_LXR,2023-01-01 11:25:00,"[151, 138]",2,0 days 03:20:00,0 days 00:00:00,CAI,
150,151,SM,HMB,2023-01-01 05:30:00,LXR,0 days 05:30:00,0,A320,106,768,55,1,HMB -> CAI -> LXR,HMB_LXR,2023-01-01 11:00:00,"[151, 139]",2,0 days 03:30:00,0 days 00:00:00,CAI,
66,67,MS,HMB,2023-01-01 18:40:00,SSH,0 days 04:55:00,0,B738,150,802,55,0,HMB -> ATZ -> CAI -> SSH,HMB_SSH,2023-01-01 23:35:00,"[67, 30, 66]",3,0 days 00:40:00,0 days 01:40:00,ATZ,CAI
150,151,SM,HMB,2023-01-01 05:30:00,SSH,0 days 04:00:00,1,A320,70,637,55,0,HMB -> CAI -> SSH,HMB_SSH,2023-01-01 09:30:00,"[151, 149]",2,0 days 01:30:00,0 days 00:00:00,CAI,
68,69,MS,HRG,2023-01-01 10:40:00,ASW,0 days 04:30:00,0,B738,162,1101,55,0,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 15:10:00,"[69, 41]",1,0 days 02:05:00,0 days 00:00:00,CAI,
68,69,MS,HRG,2023-01-01 10:40:00,ASW,0 days 04:40:00,0,B738,162,1101,55,0,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 15:20:00,"[69, 42]",1,0 days 02:15:00,0 days 00:00:00,CAI,
69,70,MS,HRG,2023-01-01 11:40:00,ASW,0 days 03:30:00,0,B738,162,1101,55,0,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 15:10:00,"[70, 41]",1,0 days 01:05:00,0 days 00:00:00,CAI,
69,70,MS,HRG,2023-01-01 11:40:00,ASW,0 days 03:40:00,0,B738,162,1101,55,0,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 15:20:00,"[70, 42]",1,0 days 01:15:00,0 days 00:00:00,CAI,
70,71,MS,HRG,2023-01-01 15:10:00,ASW,0 days 05:00:00,0,B738,162,1101,55,0,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 20:10:00,"[71, 43]",1,0 days 02:35:00,0 days 00:00:00,CAI,
70,71,MS,HRG,2023-01-01 15:10:00,ASW,0 days 06:05:00,0,B738,162,1101,55,0,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 21:15:00,"[71, 44]",1,0 days 03:40:00,0 days 00:00:00,CAI,
70,71,MS,HRG,2023-01-01 15:10:00,ASW,0 days 06:15:00,0,B738,162,1101,55,0,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 21:25:00,"[71, 45]",1,0 days 03:50:00,0 days 00:00:00,CAI,
70,71,MS,HRG,2023-01-01 15:10:00,ASW,0 days 06:20:00,0,B738,162,1101,55,0,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 21:30:00,"[71, 46]",1,0 days 03:55:00,0 days 00:00:00,CAI,
71,72,MS,HRG,2023-01-01 20:40:00,ASW,0 days 02:50:00,0,B738,162,1101,55,0,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 23:30:00,"[72, 48]",1,0 days 00:25:00,0 days 00:00:00,CAI,
72,73,MS,HRG,2023-01-01 05:15:00,ASW,0 days 03:20:00,0,B738,162,1101,55,0,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 08:35:00,"[73, 40]",1,0 days 00:55:00,0 days 00:00:00,CAI,
151,152,SM,HRG,2023-01-01 11:00:00,ASW,0 days 04:55:00,0,E90,106,1101,55,1,HRG -> CAI -> ASW,HRG_ASW,2023-01-01 15:55:00,"[152, 123]",2,0 days 02:30:00,0 days 00:00:00,CAI,
154,155,SM,HRG,2023-01-01 01:00:00,ASW,0 days 05:30:00,1,A320,70,1181,55,0,HRG -> SSH -> CAI -> ASW,HRG_ASW,2023-01-01 06:30:00,"[155, 178, 114]",3,0 days 01:30:00,0 days 00:30:00,SSH,CAI
154,155,SM,HRG,2023-01-01 01:00:00,ASW,0 days 06:00:00,1,A320,70,1181,55,0,HRG -> SSH -> CAI -> ASW,HRG_ASW,2023-01-01 07:00:00,"[155, 178, 115]",3,0 days 01:30:00,0 days 01:00:00,SSH,CAI
154,155,SM,HRG,2023-01-01 01:00:00,ASW,0 days 05:25:00,0,A320,150,1181,55,0,HRG -> SSH -> CAI -> ASW,HRG_ASW,2023-01-01 06:25:00,"[155, 178, 116]",3,0 days 01:30:00,0 days 01:00:00,SSH,CAI
154,155,SM,HRG,2023-01-01 01:00:00,ASW,0 days 05:25:00,0,A320,150,1181,55,0,HRG -> SSH -> CAI -> ASW,HRG_ASW,2023-01-01 06:25:00,"[155, 178, 117]",3,0 days 01:30:00,0 days 01:00:00,SSH,CAI
154,155,SM,HRG,2023-01-01 01:00:00,ASW,0 days 06:25:00,0,A320,106,1181,55,1,HRG -> SSH -> CAI -> ASW,HRG_ASW,2023-01-01 07:25:00,"[155, 178, 118]",3,0 days 01:30:00,0 days 02:00:00,SSH,CAI
70,71,MS,HRG,2023-01-01 15:10:00,ATZ,0 days 04:10:00,0,B738,162,770,55,0,HRG -> CAI -> HMB -> ATZ,HRG_ATZ,2023-01-01 19:20:00,"[71, 50, 67]",3,0 days 00:50:00,0 days 00:40:00,CAI,HMB
72,73,MS,HRG,2023-01-01 05:15:00,ATZ,0 days 02:30:00,0,B738,150,721,55,0,HRG -> CAI -> ATZ,HRG_ATZ,2023-01-01 07:45:00,"[73, 49]",2,0 days 00:30:00,0 days 00:00:00,CAI,
68,69,MS,HRG,2023-01-01 10:40:00,CAI,0 days 01:00:00,0,B738,162,402,55,0,HRG -> CAI,HRG_CAI,2023-01-01 11:40:00,[69],0,0 days 00:00:00,0 days 00:00:00,,
69,70,MS,HRG,2023-01-01 11:40:00,CAI,0 days 01:00:00,0,B738,162,402,55,0,HRG -> CAI,HRG_CAI,2023-01-01 12:40:00,[70],0,0 days 00:00:00,0 days 00:00:00,,
70,71,MS,HRG,2023-01-01 15:10:00,CAI,0 days 01:00:00,0,B738,162,402,55,0,HRG -> CAI,HRG_CAI,2023-01-01 16:10:00,[71],0,0 days 00:00:00,0 days 00:00:00,,
71,72,MS,HRG,2023-01-01 20:40:00,CAI,0 days 01:00:00,0,B738,162,402,55,0,HRG -> CAI,HRG_CAI,2023-01-01 21:40:00,[72],0,0 days 00:00:00,0 days 00:00:00,,
